Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
TECK,Teck Resources Ltd,28,MINING,Mining-Metal Ores,32.65,0.8,0.29,3431,-4.6,76,97,A,B,C+,99
JNPR,Juniper Networks Inc,30,COMPUTER,Computer-Networking,34.73,0.4,0.13,4073,24.6,49,94,A,B,B,85
BAC,Bank Of America Corp,31,BANKS,Banks-Money Center,46.43,-1,-0.47,31418,-27,88,91,A,B,D+,89
BCS,Barclays Plc Adr,31,BANKS,Banks-Money Center,11.27,-0.4,-0.05,4895,10.4,96,90,A,C,D-,95
BK,Bank of New York Mellon,31,BANKS,Banks-Money Center,60.75,-0.5,-0.31,2208,-35,70,92,A,C,B-,84
BMO,Bank Of Montreal,31,BANKS,Banks-Money Center,116.47,-0.5,-0.64,833,20.4,85,94,A,C,C-,91
BNS,Bank Of Nova Scotia,31,BANKS,Banks-Money Center,73.17,-0.4,-0.33,1104,-32.8,80,92,A,C,B-,90
MS,Morgan Stanley,31,BANKS,Banks-Money Center,102.25,-1.6,-1.67,4975,-43.4,86,91,A,A,D,93
NWG,Natwest Group plc Ads,31,BANKS,Banks-Money Center,6.89,-0.9,-0.07,1514,50.2,69,95,A,E,B+,93
RY,Royal Bank Of Canada,31,BANKS,Banks-Money Center,115.15,-0.6,-0.72,1038,-29.6,81,92,A,C,E,85
TD,Toronto Dominion Bank,31,BANKS,Banks-Money Center,82.92,-0.2,-0.12,1930,7.9,83,94,A,C,D+,87
UBS,U B S Group Ag Adr,31,BANKS,Banks-Money Center,20.37,-0.8,-0.16,4047,27.1,56,94,A,B,C+,88
WFC,Wells Fargo & Company,31,BANKS,Banks-Money Center,55.19,-1.3,-0.74,22992,-4.7,63,95,A,C,B-,88
BPT,B P Prudhoe Bay Rylty Tr,33,ENERGY,Oil&Gas-Royalty Trust,8.91,10.8,0.87,1260,211.9,69,99,A-,B,A+,98
MVO,M V Oil Trust,33,ENERGY,Oil&Gas-Royalty Trust,9.41,-2,-0.19,54,-48,61,99,A-,B,B,93
NRT,North European Oil Rty,33,ENERGY,Oil&Gas-Royalty Trust,12.88,-0.9,-0.12,164,289.5,65,99,A-,-,B,88
PRT,Permrock Royalty Trust,33,ENERGY,Oil&Gas-Royalty Trust,9.1,4.2,0.37,108,125.9,64,99,A-,A,C+,98
SBR,Sabine Royalty Tr Ubi,33,ENERGY,Oil&Gas-Royalty Trust,51.93,-0.5,-0.27,48,0,41,97,A-,B,B-,83
